 Fock matrix (alpha) (beta) Generated by Gaussian Link1 with IOp(5/33=3) Guess=Read
                1             2             3             4             5 
      1 -0.102851D+02
      2 -0.246028D+01 -0.105697D+01
      3  0.000000D+00  0.000000D+00  0.112943D-01
      4  0.169595D-03 -0.523585D-03  0.000000D+00 -0.138926D+00
     71  0.000000D+00  0.000000D+00  0.106730D-02  0.000000D+00  0.000000D+00
     72 -0.584616D-05 -0.210706D-02  0.000000D+00 -0.235815D-02 -0.346649D-02
     73 -0.377538D-03 -0.206656D-01  0.000000D+00 -0.237089D-01 -0.312265D-01
     74 -0.134152D+00 -0.167805D+00  0.000000D+00 -0.866370D-01 -0.102843D+00
     75  0.592375D-05 -0.123562D-02  0.000000D+00 -0.249133D-02 -0.961144D-03
     76 -0.346316D-03 -0.212199D-02  0.000000D+00 -0.173562D-02 -0.285828D-02
                6             7             8             9            10 
      6 -0.111035D+01
      7  0.000000D+00 -0.554484D-01
      8 -0.323303D-02  0.000000D+00 -0.260934D+00
      9  0.148214D+00  0.000000D+00 -0.613563D-02 -0.575870D+00
     10 -0.586769D+00  0.000000D+00  0.286257D-03  0.108913D-01  0.619360D+00
     11 -0.708500D+00  0.000000D+00 -0.351152D-03 -0.670446D-01 -0.617537D+00
     12 -0.797460D+00  0.000000D+00 -0.138689D-03  0.193735D+00 -0.636725D+00
     13  0.000000D+00 -0.245313D-03  0.000000D+00  0.000000D+00  0.000000D+00
     14  0.000000D+00  0.488651D-01  0.000000D+00  0.000000D+00  0.000000D+00
     15 -0.861904D-03  0.000000D+00 -0.105080D+00 -0.831306D-03 -0.878766D-04
     16 -0.446221D+00  0.000000D+00 -0.298820D+00 -0.188516D+00 -0.286904D+00
     17 -0.674562D+00  0.000000D+00 -0.155812D+00 -0.810244D-01 -0.384626D+00
     18 -0.440941D+00  0.000000D+00  0.289829D+00 -0.180017D+00 -0.287104D+00
     19 -0.667576D+00  0.000000D+00  0.140013D+00 -0.645109D-01 -0.386108D+00
     20 -0.731870D+00  0.000000D+00  0.000000D+00  0.144324D+01 -0.188164D-01
     21 -0.606800D+00  0.000000D+00 -0.515858D-04  0.788543D+00 -0.235990D+00
     22  0.000000D+00 -0.240506D+00  0.000000D+00  0.000000D+00  0.000000D+00
     23 -0.342427D-04  0.000000D+00 -0.209842D+00  0.562259D-04 -0.131808D-04
     24 -0.369325D+00  0.000000D+00 -0.557060D-04  0.106499D+00 -0.294754D+00
     25 -0.739014D+00  0.000000D+00 -0.264006D-03  0.642972D+00 -0.314314D+00
     26  0.000000D+00 -0.146723D+00  0.000000D+00  0.000000D+00  0.000000D+00
     27 -0.259911D-03  0.000000D+00 -0.173027D+00  0.321198D-04 -0.619658D-04
     28 -0.644569D+00  0.000000D+00 -0.720655D-03 -0.816568D-01 -0.404441D+00
     29 -0.314443D+00  0.000000D+00 -0.358681D-04  0.403919D+00 -0.126448D+00
     30 -0.336964D+00  0.000000D+00 -0.695912D-04  0.463943D+00 -0.120974D+00
     31 -0.565363D+00  0.000000D+00 -0.434194D-05  0.510666D+00 -0.334226D+00
     32  0.000000D+00 -0.295387D-04  0.000000D+00  0.000000D+00  0.000000D+00
     33  0.000000D+00 -0.465998D-01  0.000000D+00  0.000000D+00  0.000000D+00
     34  0.110353D-03  0.000000D+00 -0.210759D-01  0.328667D-03 -0.128576D-03
     35 -0.130807D+00  0.000000D+00  0.100395D+00  0.257959D+00 -0.707019D-02
     36 -0.328205D+00  0.000000D+00  0.750643D-01  0.398445D+00 -0.111808D+00
     37 -0.130922D+00  0.000000D+00 -0.100427D+00  0.257704D+00 -0.694060D-02
     38 -0.328340D+00  0.000000D+00 -0.753228D-01  0.398424D+00 -0.111775D+00
     39 -0.843938D-02  0.000000D+00  0.568001D-02 -0.380921D-01 -0.109816D-04
     40 -0.224405D-01  0.000000D+00  0.106931D-01 -0.765240D-01  0.153230D-02
     41  0.000000D+00 -0.136189D-01  0.000000D+00  0.000000D+00  0.000000D+00
     42 -0.429326D-02  0.000000D+00 -0.117345D-01 -0.115122D-01 -0.213343D-02
     43  0.243683D-01  0.000000D+00 -0.127871D-01  0.710254D-01 -0.229742D-02
     44 -0.557309D-01  0.000000D+00  0.135095D-01 -0.108525D+00 -0.120327D-01
     45  0.000000D+00 -0.245211D-01  0.000000D+00  0.000000D+00  0.000000D+00
     46 -0.177351D-01  0.000000D+00 -0.427956D-01 -0.327014D-01 -0.641553D-02
     47  0.103486D+00  0.000000D+00 -0.216858D-01  0.108909D+00  0.429453D-01
     48 -0.121813D-01  0.000000D+00  0.597514D-02 -0.442669D-01  0.124319D-02
     49 -0.157481D-01  0.000000D+00  0.519235D-02 -0.585305D-01  0.147492D-02
     50 -0.253867D-01  0.000000D+00  0.134313D-01 -0.721411D-01  0.839739D-03
     51  0.000000D+00 -0.273824D-02  0.000000D+00  0.000000D+00  0.000000D+00
     52  0.000000D+00  0.782961D-02  0.000000D+00  0.000000D+00  0.000000D+00
     53  0.170261D-02  0.000000D+00  0.121225D-01  0.483764D-02 -0.508928D-03
     54 -0.595025D-04  0.000000D+00  0.285703D-03 -0.293159D-03 -0.334661D-03
     55 -0.942810D-02  0.000000D+00  0.507647D-02 -0.276015D-01 -0.511336D-03
     56 -0.415968D-01  0.000000D+00  0.480448D-01 -0.967470D-01 -0.613916D-03
     57 -0.126495D+00  0.000000D+00  0.682703D-01 -0.127166D+00 -0.536962D-01
     58 -0.135986D-01  0.000000D+00 -0.172090D-01 -0.567742D-01 -0.173935D-04
     59 -0.309538D-01  0.000000D+00 -0.292881D-01 -0.982197D-01  0.297771D-02
     60  0.000000D+00 -0.168871D-01  0.000000D+00  0.000000D+00  0.000000D+00
     61  0.928868D-02  0.000000D+00 -0.884143D-02  0.256894D-01  0.210130D-02
     62  0.316200D-01  0.000000D+00  0.321921D-01  0.837379D-01 -0.478523D-02
     63 -0.719994D-01  0.000000D+00 -0.427198D-01 -0.128059D+00 -0.166336D-01
     64  0.000000D+00 -0.278106D-01  0.000000D+00  0.000000D+00  0.000000D+00
     65  0.343261D-01  0.000000D+00 -0.349702D-01  0.425972D-01  0.177790D-01
     66  0.127020D+00  0.000000D+00  0.641566D-01  0.113543D+00  0.551766D-01
     67 -0.166446D-01  0.000000D+00 -0.158332D-01 -0.569254D-01  0.247552D-02
     68 -0.206440D-01  0.000000D+00 -0.143457D-01 -0.713031D-01  0.257696D-02
     69 -0.354831D-01  0.000000D+00 -0.363907D-01 -0.921924D-01  0.174286D-02
     70  0.000000D+00  0.413916D-02  0.000000D+00  0.000000D+00  0.000000D+00
     71  0.000000D+00  0.913391D-02  0.000000D+00  0.000000D+00  0.000000D+00
     72 -0.346574D-02  0.000000D+00  0.117662D-01 -0.293760D-02 -0.990533D-03
     73 -0.813887D-01  0.000000D+00 -0.101142D+00 -0.146480D+00 -0.611033D-02
     74 -0.207176D+00  0.000000D+00 -0.120247D+00 -0.164548D+00 -0.959939D-01
     75 -0.830527D-03  0.000000D+00 -0.173122D-02 -0.227425D-02 -0.106945D-02
     76 -0.143642D-01  0.000000D+00 -0.153294D-01 -0.373484D-01 -0.101997D-02
               11            12            13            14            15 
     11  0.404258D+00
     12 -0.701321D+00  0.253109D+00
     13  0.000000D+00  0.000000D+00  0.175779D+01
     14  0.000000D+00  0.000000D+00 -0.327796D-03  0.171141D+01
     15 -0.627309D-03 -0.760123D-03  0.000000D+00  0.000000D+00  0.156086D+01
     16 -0.316900D+00 -0.299161D+00  0.000000D+00  0.000000D+00 -0.370600D-01
     17 -0.485525D+00 -0.475020D+00  0.000000D+00  0.000000D+00 -0.608267D-01
     18 -0.315217D+00 -0.298040D+00  0.000000D+00  0.000000D+00  0.343212D-01
     19 -0.486265D+00 -0.475334D+00  0.000000D+00  0.000000D+00  0.588194D-01
     20 -0.185595D-01 -0.650868D+00  0.000000D+00  0.000000D+00  0.000000D+00
     21 -0.233696D+00 -0.465230D+00  0.000000D+00  0.000000D+00 -0.914795D-04
     22  0.000000D+00  0.000000D+00  0.354007D-05  0.970503D-01  0.000000D+00
     23  0.299192D-05 -0.147270D-04  0.000000D+00  0.000000D+00  0.968768D-01
     24 -0.293878D+00 -0.300315D+00  0.000000D+00  0.000000D+00 -0.157477D-03
     25 -0.337004D+00 -0.565614D+00  0.000000D+00  0.000000D+00 -0.162642D-03
     26  0.000000D+00  0.000000D+00 -0.425853D-04  0.461565D-01  0.000000D+00
     27 -0.158438D-03 -0.397572D-04  0.000000D+00  0.000000D+00  0.213150D-01
     28 -0.464768D+00 -0.511845D+00  0.000000D+00  0.000000D+00 -0.377973D-03
     29 -0.120927D+00 -0.334516D+00  0.000000D+00  0.000000D+00 -0.494479D-04
     30 -0.121266D+00 -0.334794D+00  0.000000D+00  0.000000D+00 -0.402255D-04
     31 -0.334507D+00 -0.101596D+00  0.000000D+00  0.000000D+00 -0.129217D-03
     32  0.000000D+00  0.000000D+00 -0.357198D-02  0.370430D-05  0.000000D+00
     33  0.000000D+00  0.000000D+00  0.178515D-04 -0.237288D+00  0.000000D+00
     34 -0.148970D-03  0.336283D-04  0.000000D+00  0.000000D+00 -0.255034D+00
     35 -0.151854D-01 -0.616022D-01  0.000000D+00  0.000000D+00 -0.524566D-01
     36 -0.120408D+00 -0.233864D+00  0.000000D+00  0.000000D+00 -0.316799D-01
     37 -0.150088D-01 -0.616254D-01  0.000000D+00  0.000000D+00  0.524945D-01
     38 -0.120387D+00 -0.233883D+00  0.000000D+00  0.000000D+00  0.316178D-01
     39 -0.123599D-04 -0.880014D-05  0.000000D+00  0.000000D+00  0.499677D-05
     40  0.234357D-02 -0.494142D-03  0.000000D+00  0.000000D+00  0.622993D-04
     41  0.000000D+00  0.000000D+00 -0.832805D-04 -0.182452D-02  0.000000D+00
     42 -0.202150D-02 -0.216748D-02  0.000000D+00  0.000000D+00  0.112547D-03
     43 -0.309673D-02  0.230034D-02  0.000000D+00  0.000000D+00 -0.126292D-02
     44 -0.153756D-01 -0.244263D-01  0.000000D+00  0.000000D+00  0.428004D-02
     45  0.000000D+00  0.000000D+00  0.101778D-02 -0.804099D-02  0.000000D+00
     46 -0.600805D-02 -0.108160D-01  0.000000D+00  0.000000D+00 -0.103858D-01
     47  0.558420D-01  0.688362D-01  0.000000D+00  0.000000D+00 -0.120449D-01
     48  0.191232D-02  0.518977D-03  0.000000D+00  0.000000D+00 -0.246006D-03
     49  0.237647D-02  0.519856D-03  0.000000D+00  0.000000D+00 -0.228701D-03
     50  0.108807D-02 -0.208473D-02  0.000000D+00  0.000000D+00  0.744765D-03
     51  0.000000D+00  0.000000D+00 -0.798020D-05 -0.413228D-03  0.000000D+00
     52  0.000000D+00  0.000000D+00  0.000000D+00  0.359153D-03  0.000000D+00
     53 -0.559148D-03  0.157826D-03  0.000000D+00  0.000000D+00  0.410932D-03
     54 -0.746531D-03  0.939160D-04  0.000000D+00  0.000000D+00 -0.194934D-03
     55 -0.803952D-03 -0.142839D-02  0.000000D+00  0.000000D+00  0.330258D-03
     56 -0.293035D-02 -0.875078D-02  0.000000D+00  0.000000D+00  0.833736D-02
     57 -0.758307D-01 -0.762240D-01  0.000000D+00  0.000000D+00  0.295691D-01
     58 -0.173134D-04 -0.142001D-04  0.000000D+00  0.000000D+00 -0.728283D-05
     59  0.358002D-02 -0.754756D-03  0.000000D+00  0.000000D+00 -0.102414D-02
     60  0.000000D+00  0.000000D+00 -0.230303D-03 -0.207506D-02  0.000000D+00
     61  0.180930D-02  0.368550D-02  0.000000D+00  0.000000D+00  0.522377D-03
     62 -0.455040D-02  0.314029D-02  0.000000D+00  0.000000D+00  0.383738D-02
     63 -0.230383D-01 -0.319283D-01  0.000000D+00  0.000000D+00 -0.106493D-01
     64  0.000000D+00  0.000000D+00 -0.292984D-02 -0.941863D-02  0.000000D+00
     65  0.182534D-01  0.271481D-01  0.000000D+00  0.000000D+00 -0.770281D-02
     66  0.763713D-01  0.826867D-01  0.000000D+00  0.000000D+00  0.267515D-01
     67  0.322382D-02  0.114516D-02  0.000000D+00  0.000000D+00  0.233157D-03
     68  0.353111D-02  0.661516D-03  0.000000D+00  0.000000D+00  0.270591D-03
     69  0.127335D-02 -0.387228D-02  0.000000D+00  0.000000D+00 -0.324814D-02
     70  0.000000D+00  0.000000D+00  0.724851D-04  0.592983D-03  0.000000D+00
     71  0.000000D+00  0.000000D+00  0.127476D-03  0.534171D-03  0.000000D+00
     72 -0.114454D-02 -0.274280D-02  0.000000D+00  0.000000D+00  0.168700D-04
     73 -0.203824D-01 -0.297103D-01  0.000000D+00  0.000000D+00 -0.319820D-01
     74 -0.136690D+00 -0.125902D+00  0.000000D+00  0.000000D+00 -0.466089D-01
     75 -0.131563D-02 -0.261273D-03  0.000000D+00  0.000000D+00  0.388721D-03
     76 -0.169291D-02 -0.253027D-02  0.000000D+00  0.000000D+00 -0.137723D-02
               16            17            18            19            20 
     16 -0.134054D+00
     17 -0.530702D+00 -0.552897D+00
     18 -0.452088D-01 -0.196303D+00 -0.113694D+00
     19 -0.198167D+00 -0.377916D+00 -0.511894D+00 -0.510903D+00
     20 -0.822494D-03 -0.167113D+00 -0.822716D-03 -0.167116D+00 -0.102883D+02
     21 -0.300416D-01 -0.213692D+00 -0.300071D-01 -0.213319D+00 -0.246068D+01
     22  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     23 -0.259466D-01 -0.572122D-01  0.259658D-01  0.572296D-01 -0.237880D-04
     24 -0.548899D-01 -0.178715D+00 -0.548215D-01 -0.178209D+00  0.387726D-03
     25 -0.131581D+00 -0.328806D+00 -0.131151D+00 -0.328504D+00 -0.202300D+01
     26  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     27 -0.101214D+00 -0.756073D-01  0.100492D+00  0.750880D-01 -0.245980D-05
     28 -0.260057D+00 -0.400619D+00 -0.258650D+00 -0.399607D+00 -0.338858D-03
     29 -0.697208D-02 -0.112374D+00 -0.695114D-02 -0.112087D+00 -0.941266D+00
     30 -0.150662D-01 -0.120834D+00 -0.150378D-01 -0.120578D+00 -0.943610D+00
     31 -0.615982D-01 -0.234324D+00 -0.615800D-01 -0.234081D+00 -0.944676D+00
     32  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     33  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     34 -0.522843D-01 -0.304256D-01  0.523019D-01  0.312533D-01 -0.455937D-05
     35 -0.641536D-02 -0.209732D-01  0.349958D-02 -0.593548D-01 -0.376502D+00
     36 -0.216636D-01 -0.105802D+00 -0.593596D-01 -0.154476D+00 -0.102107D+01
     37  0.352420D-02 -0.596831D-01 -0.641481D-02 -0.214016D-01 -0.376500D+00
     38 -0.595682D-01 -0.154779D+00 -0.216266D-01 -0.105934D+00 -0.102107D+01
     39 -0.444138D-05 -0.231196D-01 -0.608641D-04 -0.582496D-01  0.000000D+00
     40 -0.198014D-03 -0.473415D-01 -0.352312D-02 -0.941842D-01  0.502981D-05
     41  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     42 -0.351299D-03 -0.274388D-01  0.216334D-02  0.245865D-01 -0.419124D-05
     43  0.123668D-02  0.392414D-01  0.102346D-01  0.832129D-01 -0.755218D-05
     44 -0.234128D-01 -0.959446D-01 -0.420838D-01 -0.129216D+00 -0.333994D-04
     45  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     46 -0.338014D-01 -0.912711D-01  0.175221D-01  0.245398D-01 -0.245805D-04
     47  0.624730D-01  0.116995D+00  0.108095D+00  0.143669D+00  0.211849D-03
     48  0.489975D-03 -0.258059D-01  0.289104D-03 -0.541786D-01  0.464073D-05
     49  0.596969D-03 -0.427591D-01  0.450417D-04 -0.690221D-01  0.435738D-05
     50 -0.158488D-02 -0.412351D-01 -0.105074D-01 -0.862590D-01  0.260673D-05
     51  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     52  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     53  0.185183D-02  0.207419D-01 -0.386925D-02 -0.222243D-01 -0.154905D-05
     54 -0.691954D-03 -0.244307D-02 -0.422271D-03 -0.318521D-02 -0.164748D-05
     55 -0.159111D-02 -0.203185D-01 -0.467135D-02 -0.387921D-01  0.000000D+00
     56  0.188204D-03 -0.333718D-01 -0.586791D-01 -0.161177D+00  0.350067D-05
     57 -0.376060D-01 -0.104269D+00 -0.161172D+00 -0.206746D+00 -0.849246D-03
     58 -0.286746D-03 -0.119715D+00 -0.217921D-05 -0.210064D-01  0.000000D+00
     59 -0.165414D-01 -0.156257D+00 -0.497684D-03 -0.429619D-01  0.793241D-05
     60  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     61 -0.281715D-02 -0.129768D-01  0.531173D-03  0.280716D-01  0.302314D-05
     62  0.339665D-01  0.129032D+00  0.173286D-02  0.317797D-01 -0.132487D-04
     63 -0.757362D-01 -0.197735D+00 -0.217023D-01 -0.846361D-01 -0.724328D-04
     64  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     65 -0.327878D-02 -0.211350D-02  0.398800D-01  0.848389D-01  0.967699D-04
     66  0.170339D+00  0.201333D+00  0.533002D-01  0.956746D-01  0.436863D-03
     67 -0.402162D-02 -0.888942D-01  0.988117D-04 -0.239451D-01  0.692414D-05
     68 -0.409957D-02 -0.101431D+00 -0.899354D-04 -0.395476D-01  0.664604D-05
     69 -0.375114D-01 -0.146778D+00 -0.115142D-02 -0.357895D-01  0.445451D-05
     70  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     71  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     72  0.468008D-02  0.243847D-01 -0.246955D-02 -0.135664D-01 -0.217621D-05
     73 -0.166745D+00 -0.265959D+00 -0.803749D-03 -0.485246D-01  0.303735D-05
     74 -0.268450D+00 -0.326969D+00 -0.554660D-01 -0.137734D+00 -0.363734D-02
     75  0.406907D-03 -0.138443D-01 -0.476887D-03 -0.190429D-02 -0.382543D-05
     76 -0.127941D-01 -0.711409D-01 -0.134273D-02 -0.175949D-01 -0.181125D-05
               21            22            23            24            25 
     21 -0.105580D+01
     22  0.000000D+00  0.117915D-01
     23 -0.960363D-04  0.000000D+00 -0.138192D+00
     24 -0.472094D-01  0.000000D+00  0.225889D-04 -0.223730D+00
     25 -0.116162D+01  0.000000D+00 -0.894975D-04 -0.628274D-01 -0.110387D+01
     26  0.000000D+00 -0.297319D+00  0.000000D+00  0.000000D+00  0.000000D+00
     27 -0.366570D-04  0.000000D+00 -0.436066D+00  0.247453D-04 -0.169733D-03
     28 -0.476975D-01  0.000000D+00  0.952840D-05 -0.529447D+00 -0.162375D+00
     29 -0.549458D+00  0.000000D+00 -0.401897D-04 -0.164604D-01 -0.586792D+00
     30 -0.654749D+00  0.000000D+00 -0.168140D-03  0.602986D-01 -0.707821D+00
     31 -0.717168D+00  0.000000D+00  0.662486D-05 -0.170895D+00 -0.795297D+00
     32  0.000000D+00 -0.102104D-03  0.000000D+00  0.000000D+00  0.000000D+00
     33  0.000000D+00 -0.446731D-01  0.000000D+00  0.000000D+00  0.000000D+00
     34  0.121545D-03  0.000000D+00  0.110490D+00  0.115760D-03  0.526431D-04
     35 -0.452170D+00  0.000000D+00  0.340948D+00  0.211426D+00 -0.437897D+00
     36 -0.714207D+00  0.000000D+00  0.223092D+00  0.121021D+00 -0.657229D+00
     37 -0.452339D+00  0.000000D+00 -0.341098D+00  0.211310D+00 -0.438038D+00
     38 -0.714290D+00  0.000000D+00 -0.223233D+00  0.120965D+00 -0.657375D+00
     39  0.598928D-05  0.000000D+00 -0.232555D-05  0.897184D-05 -0.281221D-04
     40 -0.591094D-03  0.000000D+00  0.229609D-04 -0.866862D-03 -0.208137D-03
     41  0.000000D+00  0.182056D-02  0.000000D+00  0.000000D+00  0.000000D+00
     42  0.523692D-03  0.000000D+00 -0.638746D-04  0.761117D-03 -0.196357D-03
     43  0.857860D-03  0.000000D+00  0.186644D-03  0.110208D-02  0.374845D-03
     44 -0.164549D-03  0.000000D+00 -0.112957D-04 -0.414078D-03 -0.509011D-02
     45  0.000000D+00 -0.361758D-03  0.000000D+00  0.000000D+00  0.000000D+00
     46  0.627106D-04  0.000000D+00  0.129623D-04 -0.522535D-04 -0.187540D-02
     47  0.799736D-03  0.000000D+00 -0.123998D-03  0.196641D-02  0.168288D-01
     48 -0.462405D-03  0.000000D+00  0.469291D-04 -0.717758D-03 -0.288553D-04
     49 -0.575701D-03  0.000000D+00  0.230427D-04 -0.862633D-03 -0.419357D-04
     50 -0.268581D-03  0.000000D+00 -0.590762D-04 -0.298329D-03 -0.465040D-03
     51  0.000000D+00  0.352507D-03  0.000000D+00  0.000000D+00  0.000000D+00
     52  0.000000D+00  0.105241D-03  0.000000D+00  0.000000D+00  0.000000D+00
     53  0.192507D-03  0.000000D+00 -0.118107D-03  0.308269D-03  0.350980D-04
     54  0.189806D-03  0.000000D+00  0.723596D-04  0.253995D-03 -0.334767D-04
     55  0.801152D-04  0.000000D+00  0.231401D-04  0.113064D-03 -0.306776D-03
     56 -0.326077D-04  0.000000D+00 -0.492460D-03  0.190394D-03 -0.163678D-02
     57 -0.306933D-02  0.000000D+00  0.156503D-02 -0.493906D-02 -0.245202D-01
     58  0.780089D-05  0.000000D+00  0.269879D-05  0.120885D-04 -0.662368D-04
